"","uid","study_id","species_name","taxon","origin","location","study_type","life_history_stage","sex","stressor_name","stressor_type","duration","fitness_name","fitness_type","gc_measurement","mean_gc_low","se_gc_low","mean_gc_high","se_gc_high","mean_fitness_low","se_fitness_low","mean_fitness_high","se_fitness_high","n_gc_low","n_gc_high","n_fitness_low","n_fitness_high","fitness_reversed","authors","yr","journal","article_title"
"86",93,163,"octodon_degu","mammals","wild","field","observational","adult","both","edible_vegetation_availability","food_limitation","years","body_mass","body_condition","stress_induced",535.933,38.719,488.206,32.779,148.65,3.64,148.05,1.99,37,54,39,55,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"87",94,163,"octodon_degu","mammals","wild","field","observational","adult","both","cover_availability","predation_risk","years","hematocrit","immune_function","baseline",77.382,17.193,167.262,31.305,0.76,0.02,0.7,0.01,20,26,18,21,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"88",95,163,"octodon_degu","mammals","wild","field","observational","adult","both","cover_availability","predation_risk","years","body_mass","body_condition","baseline",77.382,17.193,167.262,31.305,119.5,4.4,148.6,2.8,20,26,21,25,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"89",96,163,"octodon_degu","mammals","wild","field","observational","adult","both","cover_availability","predation_risk","years","hematocrit","immune_function","stress_induced",410.939,38.527,510.023,57.333,0.76,0.02,0.7,0.01,21,25,18,21,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"90",97,163,"octodon_degu","mammals","wild","field","observational","adult","both","cover_availability","predation_risk","years","body_mass","body_condition","stress_induced",410.939,38.527,510.023,57.333,119.5,4.4,148.6,2.8,21,25,21,25,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"91",102,168,"lates_calcarifer","fish","captive","lab","experimental","juvenile","both","stocking_density","density","months","myeloperoxidase_activity","immune_function","total",39.49,3.8,45.82,5.32,0.47,0.07,0.45,0.07,2,2,NA,NA,"no","Sadhu et al.",2014,"Fish Physiology & Biochemistry","Chronic stress due to high stocking density in open sea cage farming induces variation in biochemical and immunological functions in Asian seabass (Lates calcarifer, Bloch)"
"92",103,168,"lates_calcarifer","fish","captive","lab","experimental","juvenile","both","stocking_density","density","months","plasma_glucose","body_condition","total",39.49,3.8,45.82,5.32,136.74,21.45,157.14,18.74,2,2,NA,NA,"yes","Sadhu et al.",2014,"Fish Physiology & Biochemistry","Chronic stress due to high stocking density in open sea cage farming induces variation in biochemical and immunological functions in Asian seabass (Lates calcarifer, Bloch)"
"93",104,169,"rana_sylvatica","amphibians","wild","lab","experimental","juvenile","both","predator_cue","predation_risk","weeks","body_weight","body_condition","total",833.14,117.1,1873.65,390.34,0.053,0.003,0.024,0.002,16,16,NA,NA,"no","Middlemis Maher et al.",2013,"Proceedings of the Royal Society B","Stress hormones mediate predator-induced phenotypic plasticity in amphibian tadpoles"
"94",105,170,"solea_senegalensis","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","lysozyme_activity","immune_function","total",7.77,2.59,30.09,4.47,18.34,2.4,11.14,1.86,2,2,NA,NA,"no","Costas et al.",2013,"Fish Physiology & Biochemistry","Interactive effects of a high-quality protein diet and high stocking density on the stress response and some innate immune parameters of Senegalese sole Solea senegalensis"
"95",106,170,"solea_senegalensis","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","blood_glucose","body_condition","total",7.77,2.59,30.09,4.47,5,0.6,8.1,0.3,2,2,NA,NA,"yes","Costas et al.",2013,"Fish Physiology & Biochemistry","Interactive effects of a high-quality protein diet and high stocking density on the stress response and some innate immune parameters of Senegalese sole Solea senegalensis"
